index,SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
128,In Spite of Ourselves (feat. Iris DeMent)John Prine,5/23/2021 5:12:00 PM,John Prine,In Spite of Ourselves,In Spite of Ourselves (feat. Iris DeMent),5/23/2021 11:12:00 PM
129,Heathenstwenty one pilots,5/23/2021 5:06:00 PM,twenty one pilots,Heathens,Heathens,5/23/2021 11:06:00 PM
130,Moments PassedDermot Kennedy,5/23/2021 5:01:00 PM,Dermot Kennedy,Moments Passed,Moments Passed,5/23/2021 11:01:00 PM
131,House Of MercySarah Jarosz,5/23/2021 4:54:00 PM,Sarah Jarosz,Undercurrent,House Of Mercy,5/23/2021 10:54:00 PM
132,Death to Mumble RapGawne,5/23/2021 4:49:00 PM,Gawne,Terminal,Death to Mumble Rap,5/23/2021 10:49:00 PM
133,White RapperMouse Powell,5/23/2021 4:46:00 PM,Mouse Powell,White Rapper,White Rapper,5/23/2021 10:46:00 PM
134,Get Outta My Dreams Get into My CarBilly Ocean,5/23/2021 10:31:00 AM,Billy Ocean,The Very Best Of Billy Ocean,Get Outta My Dreams Get into My Car,5/23/2021 4:31:00 PM
135,I Love Rock 'n' RollJoan Jett and the Blackhearts,5/23/2021 10:26:00 AM,Joan Jett and the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),I Love Rock 'n' Roll,5/23/2021 4:26:00 PM
136,Welcome to the JungleGuns N' Roses,5/23/2021 10:26:00 AM,Guns N' Roses,Appetite for Destruction,Welcome to the Jungle,5/23/2021 4:26:00 PM
137,I Love Rock 'n' RollJoan Jett and the Blackhearts,5/23/2021 10:23:00 AM,Joan Jett and the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),I Love Rock 'n' Roll,5/23/2021 4:23:00 PM
138,Push ItSalt-N-Pepa,5/23/2021 10:19:00 AM,Salt-N-Pepa,Hot Cool & Vicious,Push It,5/23/2021 4:19:00 PM
139,Faith - RemasteredGeorge Michael,5/23/2021 10:15:00 AM,George Michael,Faith,Faith - Remastered,5/23/2021 4:15:00 PM
140,Crazy Little Thing Called Love - Remastered 2011Queen,5/23/2021 10:13:00 AM,Queen,The Game (2011 Remaster),Crazy Little Thing Called Love - Remastered 2011,5/23/2021 4:13:00 PM
141,Don't Stop Believin'Journey,5/23/2021 10:09:00 AM,Journey,The Essential Journey,Don't Stop Believin',5/23/2021 4:09:00 PM
142,HysteriaDef Leppard,5/23/2021 10:03:00 AM,Def Leppard,Hysteria,Hysteria,5/23/2021 4:03:00 PM
143,She Drives Me CrazyFine Young Cannibals,5/23/2021 9:59:00 AM,Fine Young Cannibals,The Platinum Collection,She Drives Me Crazy,5/23/2021 3:59:00 PM
144,The LookRoxette,5/23/2021 9:55:00 AM,Roxette,Look Sharp! (2009 Version),The Look,5/23/2021 3:55:00 PM
145,You Can Call Me AlPaul Simon,5/23/2021 9:52:00 AM,Paul Simon,Graceland (25th Anniversary Deluxe Edition),You Can Call Me Al,5/23/2021 3:52:00 PM
146,Addicted to LoveRobert Palmer,5/23/2021 9:46:00 AM,Robert Palmer,Riptide,Addicted to Love,5/23/2021 3:46:00 PM
147,KokomoThe Beach Boys,5/23/2021 9:42:00 AM,The Beach Boys,Greatest Hits,Kokomo,5/23/2021 3:42:00 PM
148,Sussudio - 2016 RemasterPhil Collins,5/23/2021 9:38:00 AM,Phil Collins,No Jacket Required (2016 Remaster),Sussudio - 2016 Remaster,5/23/2021 3:38:00 PM
149,Little Lies - 2017 RemasterFleetwood Mac,5/23/2021 9:34:00 AM,Fleetwood Mac,Tango In The Night (Deluxe Edition),Little Lies - 2017 Remaster,5/23/2021 3:34:00 PM
150,Rebel Yell - RemasteredBilly Idol,5/23/2021 9:29:00 AM,Billy Idol,Greatest Hits,Rebel Yell - Remastered,5/23/2021 3:29:00 PM
151,Dance Hall Days (Re-Recorded)Wang Chung,5/23/2021 9:25:00 AM,Wang Chung,Best Of,Dance Hall Days (Re-Recorded),5/23/2021 3:25:00 PM
152,Land Of Confusion - 2007 RemasterGenesis,5/23/2021 9:21:00 AM,Genesis,Invisible Touch,Land Of Confusion - 2007 Remaster,5/23/2021 3:21:00 PM
153,18 and LifeSkid Row,5/23/2021 9:21:00 AM,Skid Row,Skid Row,18 and Life,5/23/2021 3:21:00 PM
